"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
702,3.92685062251985073E-04,3.95830523921176852E-04,4.20304015278816223E-04,3.31153394654393196E-03,3.35974029381759520E-03,3.39381105732172728E-03,3.59075097367167473E-03,3.62867583753541259E-03,3.68521490599960089E-03
703,3.94264003261923790E-04,3.97817618795670591E-04,4.18476993218064308E-04,3.38432705029845238E-03,3.42656920547597084E-03,3.49305698182433844E-03,3.66535992361605167E-03,3.70478571043349712E-03,3.76957794651389122E-03
704,3.96191957406699657E-04,3.98919678991660714E-04,4.30154032073915005E-04,3.12724499963223934E-03,3.18587381625548083E-03,3.21559701114892960E-03,3.47054190933704376E-03,3.51163671119138644E-03,3.55273007880896330E-03
705,4.02223085984587669E-04,4.04407879104837719E-04,4.25214064307510853E-04,3.46110400278121233E-03,3.53481286787427898E-03,3.57893900945782661E-03,3.75549111049622297E-03,3.79453979548998160E-03,3.83045105263590813E-03
706,4.02751029469072819E-04,4.05322239384986504E-04,4.31158929131925106E-04,3.38036997709423304E-03,3.43366567860357505E-03,3.46059491857886314E-03,3.68477706797420979E-03,3.73006189824082006E-03,3.76350700389593840E-03
707,4.02902951464056969E-04,4.05138191417790997E-04,4.20753960497677326E-04,3.45861900132149458E-03,3.53143768152221985E-03,3.56664997525513172E-03,3.74820001889020205E-03,3.78640704439021621E-03,3.82763298694044352E-03
708,4.03331010602414608E-04,4.06159451231360448E-04,4.28299070335924625E-04,3.36123199667781591E-03,3.43273707781918376E-03,3.46445292234420776E-03,3.68208903819322586E-03,3.72424853034317507E-03,3.75307595822960138E-03
709,4.04443941079080105E-04,4.07225384842604390E-04,4.29866020567715168E-04,3.45209799706935883E-03,3.52036188822239717E-03,3.57014604378491640E-03,3.73237906023859978E-03,3.77101741149090232E-03,3.82202293258160353E-03
710,4.05062921345233917E-04,4.07247416442260083E-04,4.21858043409883976E-04,3.35912301670759916E-03,3.43346361652947796E-03,3.46361997071653605E-03,3.65934695582836866E-03,3.71109154308214839E-03,3.74211603775620461E-03
711,4.06383071094751358E-04,4.09131521009840058E-04,4.40287985838949680E-04,3.45521303825080395E-03,3.50430106278509009E-03,3.53906711097806692E-03,3.73073806986212730E-03,3.76326424535363812E-03,3.83024301845580339E-03
712,4.07061073929071426E-04,4.09374446608126133E-04,4.55223023891448975E-04,3.36174294352531433E-03,3.43147431849502062E-03,3.45684099011123180E-03,3.65597696509212255E-03,3.69896139600314321E-03,3.73853999190032482E-03
713,4.08528954721987247E-04,4.11198711954057167E-04,4.33673034422099590E-04,3.46981699112802744E-03,3.50831651594489839E-03,3.54172091465443373E-03,3.74598300550132990E-03,3.77119879238307486E-03,3.81214998196810484E-03
714,4.09153988584876060E-04,4.11664039129391467E-04,4.48127044364809990E-04,3.36947606410831213E-03,3.44060764065943613E-03,3.48024500999599695E-03,3.65671108011156321E-03,3.70823884964920688E-03,3.75577993690967560E-03
715,4.11581015214323997E-04,4.13954479154199568E-04,4.36840928159654140E-04,3.46277607604861259E-03,3.50139227579347821E-03,3.53649898897856474E-03,3.74216900672763586E-03,3.77150058397091861E-03,3.81203100550919771E-03
716,4.11811983212828636E-04,4.14987009135074983E-04,4.45864978246390820E-04,3.37077106814831495E-03,3.43593288445845271E-03,3.48168902564793825E-03,3.65026900544762611E-03,3.69364725193008833E-03,3.74920794274657965E-03
717,4.12747031077742577E-04,4.15763001074083188E-04,4.37428941950201988E-04,3.44193493947386742E-03,3.48756024148315271E-03,3.53946897666901350E-03,3.73252190183848143E-03,3.76856887480244091E-03,3.82442795671522617E-03
718,4.13145986385643482E-04,4.15735554997809079E-04,4.38838033005595207E-04,3.37314500939100981E-03,3.41864205081947184E-03,3.46325302962213755E-03,3.64384998101741076E-03,3.68647963274270274E-03,3.74557904433459044E-03
719,4.13793022744357586E-04,4.17193467728793686E-04,4.66277007944881916E-04,3.44036705791950226E-03,3.47919568652287200E-03,3.58181691262871027E-03,3.72846901882439852E-03,3.76965500647202150E-03,3.86632594745606184E-03
720,4.14467998780310154E-04,4.16537096025422233E-04,4.38079005107283592E-04,3.18828993476927280E-03,3.23480995721183578E-03,3.26517201028764248E-03,3.52230400312691927E-03,3.56446439283900074E-03,3.61561996396631002E-03
721,4.18168026953935623E-04,4.20927181839942874E-04,4.45205951109528542E-04,3.50253004580736160E-03,3.56380153447389799E-03,3.62166995182633400E-03,3.78199899569153786E-03,3.82793310913257401E-03,3.87632497586309910E-03
722,4.18559997342526913E-04,4.20969471451826350E-04,4.36333008110523224E-04,3.39647301007062197E-03,3.46756129176355957E-03,3.49204998929053545E-03,3.71496903244405985E-03,3.76113715581595856E-03,3.80230799783021212E-03
723,4.19352902099490166E-04,4.22218576422892574E-04,4.65473043732345104E-04,3.50262701977044344E-03,3.55247417581267683E-03,3.59045492950826883E-03,3.78599402029067278E-03,3.82640382391400552E-03,3.88652400579303503E-03
724,4.19853953644633293E-04,4.22405146528035411E-04,4.46291058324277401E-04,3.39863402768969536E-03,3.46741859568282891E-03,3.50566406268626451E-03,3.72070993762463331E-03,3.75630196300335119E-03,3.80047305952757597E-03
725,4.20459895394742489E-04,4.22559753642417330E-04,4.37836046330630779E-04,3.49904503673315048E-03,3.54072906658984589E-03,3.58742009848356247E-03,3.77525400836020708E-03,3.82134856656193801E-03,3.88305098749697208E-03
726,4.20477008447051048E-04,4.23731482005678208E-04,4.49068029411137104E-04,3.39859304949641228E-03,3.46398881985805806E-03,3.49604594521224499E-03,3.70696396566927433E-03,3.74852604116313179E-03,3.79516498651355505E-03
727,4.22646990045905113E-04,4.24930907320231221E-04,4.40274016000330448E-04,3.50151897873729467E-03,3.53309126803651391E-03,3.56154597830027342E-03,3.77580604981631041E-03,3.81440314580686361E-03,3.88317496981471777E-03
728,4.22987039200961590E-04,4.25773867755196967E-04,4.41094976849853992E-04,3.39612702373415232E-03,3.45608637668192407E-03,3.48583504091948271E-03,3.70005797594785690E-03,3.73328971094451841E-03,3.77079600002616644E-03
729,4.25555044785141945E-04,4.30247262120246870E-04,5.11882011778652668E-04,3.50706407334655523E-03,3.53584695607423848E-03,3.58826597221195698E-03,3.77694400958716869E-03,3.81880800705403133E-03,3.89640801586210728E-03
730,4.25918027758598328E-04,4.28580151638016074E-04,4.66099940240383148E-04,3.40996496379375458E-03,3.46318437252193540E-03,3.50769504439085722E-03,3.70746105909347534E-03,3.74693216523155686E-03,3.78760998137295246E-03
731,4.26645972765982151E-04,4.29237102507613682E-04,4.53647924587130547E-04,3.47405602224171162E-03,3.52859681821428121E-03,3.56896896846592426E-03,3.77832097001373768E-03,3.81039886851795113E-03,3.87394393328577280E-03
