"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
246,6.76169293001294136E-05,6.91503752022981589E-05,7.82690476626157761E-05,1.53124704957008362E-03,1.55843859189189931E-03,1.65192491840571165E-03,1.54707406181842089E-03,1.57385023543611105E-03,1.75365805625915527E-03
247,6.75299670547246933E-05,6.93367066560312997E-05,8.22610454633831978E-05,1.55348400585353374E-03,1.57904774066992110E-03,1.68635405134409666E-03,1.56205100938677788E-03,1.58670154400169941E-03,1.67012400925159454E-03
248,6.77689677104353905E-05,6.93920563207939240E-05,8.60649161040782928E-05,1.50036299601197243E-03,1.53107125428505217E-03,2.51624395605176687E-03,1.53904501348733902E-03,1.55950157903134872E-03,1.65911600925028324E-03
249,6.83000544086098671E-05,7.01293168822303544E-05,8.28759511932730675E-05,1.53829995542764664E-03,1.58584722783416477E-03,1.63756601978093386E-03,1.56558293383568525E-03,1.61434285459108751E-03,1.71731505542993546E-03
250,6.81659439578652382E-05,7.01211002888157872E-05,8.28939955681562424E-05,1.53678003698587418E-03,1.57092691049911084E-03,1.66210602037608624E-03,1.56440003775060177E-03,1.60030593746341744E-03,1.67790404520928860E-03
251,6.90459273755550385E-05,7.08247401053085934E-05,1.09212007373571396E-04,1.55082705896347761E-03,1.57584078144282018E-03,1.67076906654983759E-03,1.57893903087824583E-03,1.60045830183662527E-03,1.65806396398693323E-03
252,6.89920270815491676E-05,7.05748389009386301E-05,8.34889942780137062E-05,1.52625190094113350E-03,1.54997600126080201E-03,1.61053205374628305E-03,1.56346894800662994E-03,1.58722703112289297E-03,1.63797207642346621E-03
253,6.99150841683149338E-05,7.16640497557818890E-05,8.44680471345782280E-05,1.56252097804099321E-03,1.58542213262990116E-03,1.66197796352207661E-03,1.58303498756140471E-03,1.60999101470224557E-03,1.66492699645459652E-03
254,7.00961099937558174E-05,7.16589327203109774E-05,8.53500096127390862E-05,1.55404407996684313E-03,1.57804375048726858E-03,1.65760389063507318E-03,1.58615305554121733E-03,1.61182028590701500E-03,1.66954100131988525E-03
255,7.04490812495350838E-05,7.20241258386522564E-05,8.40480206534266472E-05,1.57639593817293644E-03,1.60080616828054204E-03,1.67533999774605036E-03,1.60340406000614166E-03,1.62872508983127819E-03,1.68483599554747343E-03
256,7.05849379301071167E-05,7.23235023906454476E-05,8.40279972180724144E-05,1.55230402015149593E-03,1.57950992463156597E-03,1.68232002761214972E-03,1.58757099416106939E-03,1.61481598159298302E-03,1.71115307603031397E-03
257,7.44609860703349113E-05,7.70270271459594369E-05,8.95611010491847992E-05,2.21826403867453337E-03,2.25887558190152049E-03,2.34645698219537735E-03,2.41712096612900496E-03,2.44289945345371956E-03,2.53892596811056137E-03
258,7.55299115553498268E-05,7.72294268244877566E-05,8.95409611985087395E-05,2.21872702240943909E-03,2.25994719075970317E-03,2.36378307454288006E-03,2.41213105618953705E-03,2.45905947987921578E-03,2.70976894535124302E-03
259,7.68749741837382317E-05,7.88357778219505928E-05,9.92350978776812553E-05,2.21806904301047325E-03,2.25762423011474384E-03,2.36863899044692516E-03,2.41564691532403231E-03,2.44656054070219392E-03,2.54357804078608751E-03
260,7.71030317991971970E-05,7.90411856723949167E-05,9.33679984882473946E-05,2.21958197653293610E-03,2.25410024868324434E-03,2.31411098502576351E-03,2.41416704375296831E-03,2.44541929685510940E-03,2.50419892836362123E-03
