"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
55,1.46930105984210968E-05,1.61433353787288112E-05,2.11029546335339546E-05,9.64086968451738358E-04,9.67782206134870605E-04,9.86162107437849045E-04,9.62688005529344082E-04,9.67077204259112226E-04,1.01659994106739759E-03
56,1.47599494084715843E-05,1.61391042638570043E-05,1.93030573427677155E-05,9.82044031843543053E-04,9.84941011993214609E-04,1.00026291329413652E-03,9.81169985607266426E-04,9.84266351442783646E-04,9.99168027192354202E-04
57,1.49320112541317940E-05,1.65198079776018798E-05,3.06590227410197258E-05,1.00073299836367369E-03,1.00618586991913623E-03,1.02395494468510151E-03,1.00025697611272335E-03,1.00507027003914127E-03,1.02805194910615683E-03
58,1.49810221046209335E-05,1.65156600996851958E-05,3.05740395560860634E-05,1.01801403798162937E-03,1.02117563248611972E-03,1.04039802681654692E-03,1.01841997820883989E-03,1.02204675436951237E-03,1.03742710780352354E-03
59,1.49690313264727592E-05,1.66478176834061785E-05,3.03169945254921913E-05,1.03588495403528214E-03,1.03966914582997549E-03,1.05520302895456553E-03,1.03713804855942726E-03,1.04084407677873959E-03,1.05931097641587257E-03
60,1.51660060510039330E-05,1.66595826158300015E-05,3.29930335283279419E-05,1.05405296199023724E-03,1.06398717034608139E-03,1.13454798702150583E-03,1.05603190604597330E-03,1.06586770038120471E-03,1.13309291191399097E-03
61,1.51760177686810493E-05,1.66727713076397861E-05,1.99810601770877838E-05,1.07291294261813164E-03,1.07638651737943284E-03,1.09222391620278358E-03,1.07431295327842236E-03,1.07782214065082365E-03,1.09456805512309074E-03
62,1.52440043166279793E-05,1.68148655211553013E-05,1.94400781765580177E-05,1.09026499558240175E-03,1.09545057988725582E-03,1.13164796493947506E-03,1.09271297696977854E-03,1.09759447863325447E-03,1.11930805724114180E-03
63,1.54080335050821304E-05,1.70069374144077347E-05,4.90890815854072571E-05,1.10800995025783777E-03,1.11241870094090710E-03,1.15766096860170364E-03,1.11167097929865122E-03,1.11515278811566572E-03,1.13143399357795715E-03
64,1.56579772010445595E-05,1.70561851700767857E-05,2.82040564343333244E-05,1.12586596515029669E-03,1.13076762645505403E-03,1.16136204451322556E-03,1.13040802534669638E-03,1.13397159497253554E-03,1.15243403706699610E-03
65,1.59339979290962219E-05,1.75324967131018605E-05,2.95519130304455757E-05,1.14898406900465488E-03,1.15252496907487507E-03,1.16698094643652439E-03,1.14822201430797577E-03,1.15253319614566857E-03,1.18282402399927378E-03
66,1.61129282787442207E-05,1.78359472192823949E-05,3.58920078724622726E-05,1.16617896128445864E-03,1.17294104187749305E-03,1.22113700490444899E-03,1.16634194273501635E-03,1.17604977218434162E-03,1.23402394820004702E-03
67,1.61579810082912445E-05,1.77373446058481869E-05,3.12729971483349800E-05,1.18351401761174202E-03,1.18928676121868217E-03,1.21845200192183256E-03,1.18606293108314276E-03,1.19330762187019011E-03,1.22849608305841684E-03
